"Allowed Methods","Dozwolone metody"
"Change","Zmień"
"Choose","Wybierz"
"Choose locker","Wybierz paczkomat"
"Courier Standard","Kurier"
"Courier Standard Price","Kurier - Cena"
"Enabled","Aktywny"
"Locker","Paczkomat"
"Locker Standard","Paczkomat"
"Locker Standard Price","Paczkomat - Cena"
"Ship to Applicable Countries","Dostawa do stosownych krajów"
"Ship to Specific Countries","Dostawa do wybranych krajów"
"Shipping details","Szczegóły dostawy"
"Show Method if Not Applicable","Pokaż metodę jeśli niedostępna"
"Sort Order","Kolejność sortowania"
"Title","Tytuł"
"You need to choose a locker.","Musisz wybrać paczkomat."
